id,choice_1,choice_X,choice_2
11200832,1.91,3.75,4.0
11067583,1.55,4.0,6.5
11000183,2.0,3.1,4.33
10961709,1.91,3.4,4.2
11347290,2.05,3.4,3.2
11444893,2.38,3.0,2.75
11444891,2.35,3.0,2.8
10976483,3.4,3.6,1.91
11464788,1.55,4.0,4.5
10976481,1.4,4.75,6.5
11220485,3.1,3.6,2.0
11464790,2.4,3.6,2.4
11262543,1.75,3.25,4.33
11464789,2.0,3.4,3.2
11416796,2.4,3.2,2.6
10981576,2.55,2.9,3.1
11425483,2.3,3.3,3.1
11034996,2.45,3.1,2.55
11449981,1.44,4.0,5.75
11447352,2.15,3.3,3.1
11273185,3.25,3.5,2.0
11458562,12.0,7.5,1.14
11000224,3.4,2.63,2.63
11389454,1.65,3.6,4.75
11425456,1.57,4.2,5.75
11389453,2.4,3.2,2.62
11425457,1.75,3.8,4.75
11430926,1.95,3.4,4.2
11076530,3.1,3.0,2.5
11046667,2.4,2.9,2.8
11347499,2.15,3.0,3.2
11464792,2.2,3.6,2.6
11464791,1.18,7.0,9.0
11200827,2.2,3.6,3.2
11464793,1.12,7.5,13.0
11464794,2.0,3.6,3.0
11067575,2.75,3.2,2.75
10981564,1.73,3.6,5.25
11114381,1.91,3.2,4.0
10961710,2.15,3.4,3.5
11464795,2.38,2.8,3.0
11464797,2.0,3.2,3.4
11464949,1.8,4.0,3.25
11465060,2.0,3.5,3.1
11148701,2.45,3.4,2.5
11464798,6.5,6.5,1.25
11114374,2.15,3.0,3.4
11464800,2.38,3.4,2.5
11464796,3.6,3.6,1.8
11465058,2.0,3.25,3.25
11461922,3.25,4.0,1.8
11447358,1.83,3.25,4.0
11434955,2.4,3.2,3.1
11034995,2.15,3.0,3.2
11382414,1.14,6.5,11.0
11389564,3.0,3.6,2.0
11148695,1.91,3.25,3.5
11148692,1.91,3.4,3.4
11273186,2.15,3.4,3.0
11464658,1.5,4.0,5.0
11156278,2.05,3.5,3.5
11347500,1.57,3.75,5.0
11424757,1.75,3.25,4.5
11200830,2.1,3.4,3.6
11148696,2.25,3.2,2.8
11156300,1.91,3.6,4.0
11148697,2.25,3.25,2.8
11464894,3.25,3.3,2.0
11148698,3.25,3.4,1.95
10981723,3.0,3.1,2.5
11156290,1.7,3.8,4.75
11156305,1.85,3.75,4.0
11434646,2.7,3.5,2.5
11382413,1.14,8.0,11.0
11434957,1.85,3.4,4.5
11327909,2.05,3.5,3.1
11327911,3.5,3.25,1.95
11156302,1.73,4.2,4.2
10833999,1.62,3.6,6.5
11466339,2.9,3.75,1.95
11464813,1.83,3.8,3.25
10834000,1.14,8.0,21.0
11041642,1.2,6.5,10.0
11041641,12.0,7.0,1.14
11466340,1.44,4.2,5.5
11029826,1.75,3.4,4.2
11019126,2.25,3.4,3.25
11180231,1.85,4.0,3.1
11029825,2.55,3.25,2.55
10833998,1.02,19.0,51.0
11336926,9.0,6.0,1.2
11465306,2.25,3.2,2.8
10950750,5.0,4.0,1.5
11465305,1.91,3.4,3.4
10950745,1.55,4.5,4.33
11465303,1.83,3.6,3.4
11465304,6.0,5.0,1.33
11050292,3.0,3.0,2.25
11050270,2.7,2.75,2.75
11050249,2.38,2.9,3.0
11050279,3.6,3.3,1.95
11016592,1.75,4.2,3.4
11260886,2.25,3.5,2.6
11404272,2.0,3.3,3.4
11465446,2.3,3.6,2.5
11465445,1.36,5.5,5.0
11465443,1.18,6.5,9.0
11367073,1.57,4.0,4.75
11465447,1.57,3.75,4.75
11016808,4.2,4.5,1.57
11367381,2.25,3.3,3.0
11465448,2.25,3.6,2.55
11459951,2.6,3.6,2.25
11350993,4.2,3.4,1.95
11457364,2.38,3.6,2.38
11418197,1.17,7.0,9.5
10926593,1.91,3.4,3.5
11351380,2.25,3.3,2.88
11016589,1.55,4.33,4.2
11016754,1.75,4.2,3.25
11328651,1.91,3.4,3.3
11237831,1.25,6.0,8.0
10926595,1.73,3.6,4.0
10923218,2.25,3.4,3.25
11370319,1.83,3.75,4.0
10932747,1.25,6.0,11.0
11081726,4.0,3.0,1.85
11301942,1.8,3.6,3.6
10976477,2.62,3.6,2.25
11465672,1.06,11.0,17.0
11425487,1.5,4.5,6.5
11350997,3.4,3.1,2.25
10999790,2.7,2.8,2.6
11467693,2.0,4.33,2.62
11260887,1.07,8.5,17.0
11384932,1.25,5.75,7.0
11041487,1.91,3.1,3.6
11260888,1.14,7.5,12.0
11457419,1.73,3.9,3.6
11347250,1.67,4.0,3.75
11200829,1.1,11.0,21.0
11258541,3.6,3.5,1.83
11465673,3.0,4.5,1.8
10976474,1.83,3.8,3.2
10976485,2.2,3.6,2.8
11416804,1.65,3.5,4.75
10981571,2.15,2.9,4.2
10981565,1.4,4.5,9.0
11466341,2.2,4.2,2.4
11466342,1.75,3.75,3.6
11428338,2.88,3.6,2.05
11421912,1.8,3.5,3.6
11000186,2.88,2.9,2.8
10981586,1.73,3.5,5.5
11076532,2.4,3.25,3.1
11076529,1.75,3.6,5.0
11262545,2.25,3.2,2.8
10989089,2.25,3.1,3.0
11067587,3.2,3.1,2.38
11081627,1.6,3.3,5.5
11367881,1.91,3.4,3.6
11200804,1.95,3.4,4.0
11372011,2.9,2.88,2.38
10981581,1.85,3.3,4.75
11447353,1.33,4.5,8.0
11114387,2.38,3.1,2.88
11114369,2.05,3.25,3.4
11382409,4.75,4.0,1.57
10981721,2.4,2.8,3.4
11434959,2.3,3.0,3.5
11200816,1.8,3.5,4.75
10997561,2.1,3.1,4.0
10961713,2.2,3.4,3.3
11434656,1.62,3.75,6.0
11382411,1.33,5.5,6.0
10834003,3.0,2.88,2.7
10834001,1.36,5.0,8.5
11469693,2.55,3.4,2.3
10834002,4.33,3.5,1.85
11466963,15.0,7.5,1.12
11466962,1.62,3.8,4.33
11466965,1.3,5.0,7.0
11466966,2.0,3.0,3.6
11041640,1.17,7.0,11.0
11466973,1.2,6.0,9.0
11466983,1.57,1.6,5.0
11466969,1.73,3.2,4.5
11459922,2.75,3.4,2.2
11466968,2.25,3.0,3.0
11392957,4.33,3.75,1.62
11327913,1.22,6.5,8.5
11392955,2.5,3.0,2.62
11466672,3.6,3.6,1.8
11392950,1.4,4.5,5.5
11392951,2.5,3.4,2.38
11327914,1.91,4.0,2.9
11459948,1.83,4.0,3.1
11392948,2.2,3.3,2.88
11467918,4.75,3.5,1.62
11467923,2.38,3.1,2.7
11467919,1.57,3.6,5.0
11377189,2.62,3.6,2.2
11470116,3.0,3.6,2.0
11050260,1.5,4.0,5.0
11050258,2.7,3.2,2.3
11050250,1.62,3.5,5.0
11050259,2.0,3.2,3.4
11472218,1.4,4.0,7.0
11418233,2.3,3.25,2.7
11050247,2.2,3.1,3.0
11470030,2.15,3.0,3.3
