shirtNumber,jerseyNumber,position,substitute,player.name,player.slug,player.shortName,player.position,player.userCount,player.id,player.country.alpha2,player.country.name,player.marketValueCurrency,player.dateOfBirthTimestamp,statistics.totalPass,statistics.accuratePass,statistics.totalLongBalls,statistics.accurateLongBalls,statistics.goodHighClaim,statistics.saves,statistics.minutesPlayed,statistics.touches,statistics.rating,statistics.possessionLostCtrl,statistics.penaltyShootoutSave,statistics.ratingVersions.original,statistics.ratingVersions.alternative,statistics.aerialLost,statistics.aerialWon,statistics.duelLost,statistics.duelWon,statistics.dispossessed,statistics.totalContest,statistics.wonContest,statistics.totalClearance,statistics.interceptionWon,statistics.totalTackle,statistics.fouls,statistics.shotOffTarget,statistics.penaltyShootoutGoal,statistics.challengeLost,statistics.outfielderBlock,statistics.totalCross,statistics.totalOffside,captain,player.firstName,player.lastName,statistics.ownGoals,statistics.wasFouled,statistics.accurateCross,statistics.keyPass,statistics.onTargetScoringAttempt,statistics.blockedScoringAttempt,statistics.goals,statistics.goalAssist,statistics.bigChanceCreated,team,player_type,statistics.savedShotsFromInsideTheBox,statistics.bigChanceMissed,statistics.hitWoodwork,statistics.penaltyShootoutMiss
9,9,F,False,Aké Arnaud Loba,ake-arnaud-loba,A. A. Loba,F,118,924784,CI,Ivory Coast,EUR,891388800.0,14.0,9.0,1.0,,,,79.0,28.0,7.3,12.0,,7.3,7.2,2.0,1.0,5.0,3.0,2.0,3.0,2.0,,,,1.0,,,,,,,,,,,,,1.0,1.0,,1.0,,,home,main,,,,
3,3,D,True,Néstor Vidrio,nestor-vidrio,N. Vidrio,D,16,33164,MX,Mexico,EUR,606528000.0,21.0,19.0,2.0,2.0,,,45.0,24.0,7.2,2.0,,7.2,7.1,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,1.0,1.0,home,substitute,,,,
23,23,M,True,Sergio Flores,sergio-flores,S. Flores,M,34,795274,MX,Mexico,EUR,792547200.0,24.0,22.0,1.0,1.0,,,45.0,29.0,6.8,2.0,,6.8,6.9,,1.0,,2.0,,,,3.0,,1.0,,,,,,1.0,,,,,,,1.0,,,,,,,home,substitute,,,,
208,208,F,True,Ramiro Árciga,ramiro-arciga,R. Árciga,M,6,1482052,MX,Mexico,EUR,1093824000.0,10.0,7.0,,,,,33.0,18.0,7.0,3.0,,7.0,6.8,1.0,,2.0,4.0,,,,,1.0,3.0,,1.0,,1.0,,,,,Ramiro Árciga,,,1.0,,,,,,,,home,substitute,,,,
15,15,D,True,Bryan Colula,bryan-colula,B. Colula,D,11,799302,MX,Mexico,EUR,828748800.0,4.0,2.0,2.0,1.0,,,11.0,10.0,6.7,2.0,,6.7,6.8,,,1.0,2.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,home,substitute,,,,
24,24,F,True,Luis Amarilla,luis-amarilla,L. Amarilla,F,244,340265,PY,Paraguay,EUR,809308800.0,9.0,7.0,1.0,,,,11.0,12.0,6.6,4.0,,6.6,6.6,,1.0,2.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,home,substitute,,,,
13,13,G,True,Hugo Gonzalez,hugo-gonzalez,H. Gonzalez,G,73,127485,MX,Mexico,EUR,649468800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
195,195,G,True,Brian Bentacourt,brian-bentacourt,B. Bentacourt,G,3,1514213,MX,Mexico,EUR,1075420800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brian Bentacourt,,,,,,,,,,,home,substitute,,,,
2,2,D,True,Luis Olivas,luis-olivas,L. Olivas,D,50,905244,MX,Mexico,EUR,950140800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
17,17,D,True,Francisco Venegas,francisco-venegas,F. Venegas,D,40,845329,MX,Mexico,EUR,900547200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
185,185,M,True,Héctor López,hector-lopez,H. López,M,2,1514215,MX,Mexico,EUR,1062115200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Héctor López,,,,,,,,,,,home,substitute,,,,
27,27,F,True,Miguel Sansores,miguel-sansores,M. Sansores,F,18,106515,MX,Mexico,EUR,672796800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,home,substitute,,,,
22,22,G,False,Ramón Pasquel,ramon-pasquel,R. Pasquel,G,5,815635,MX,Mexico,EUR,835401600.0,19.0,18.0,5.0,4.0,,1.0,90.0,25.0,7.0,1.0,,7.0,6.8,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,away,main,1.0,,,
28,28,D,False,Luís Rodríguez,luis-rodriguez,L. Rodríguez,D,77,122158,MX,Mexico,EUR,664416000.0,10.0,8.0,1.0,,,,37.0,18.0,6.7,4.0,,6.7,6.7,,,,1.0,,1.0,1.0,,,,,,,,,2.0,,,,,,,1.0,1.0,,,,,,away,main,,,,
26,26,D,False,Jose Garcia,jose-garcia,J. Garcia,D,16,817756,MX,Mexico,EUR,835401600.0,71.0,63.0,10.0,4.0,,,90.0,79.0,7.2,8.0,,7.2,7.0,1.0,1.0,1.0,4.0,,,,1.0,,2.0,,,,,1.0,,,,,,,1.0,,,1.0,1.0,,,,away,main,,,,
24,24,D,False,Haret Ortega,haret-ortega,H. Ortega,D,161,973531,MX,Mexico,EUR,958694400.0,77.0,69.0,3.0,1.0,,,90.0,88.0,7.1,9.0,,7.1,7.2,,1.0,2.0,5.0,1.0,,,1.0,3.0,3.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,away,main,,,,
25,25,D,False,Aldo Cruz,aldo-cruz,A. Cruz,D,32,913142,MX,Mexico,EUR,875059200.0,62.0,51.0,6.0,1.0,,,90.0,84.0,6.9,21.0,,6.9,6.9,1.0,3.0,3.0,7.0,2.0,,,,1.0,3.0,,,,,,3.0,,,,,,1.0,1.0,2.0,,,,,,away,main,,,,
33,33,M,False,Aitor García,aitor-garcia,A. García,F,71,219558,ES,Spain,EUR,764553600.0,44.0,38.0,6.0,4.0,,,90.0,55.0,6.6,11.0,,6.6,6.5,,,2.0,3.0,,3.0,3.0,,,,,2.0,,2.0,,1.0,,,,,,,,,,1.0,,,,away,main,,1.0,,
6,6,M,False,Javier Salas,javier-salas,J. Salas,M,26,755394,MX,Mexico,EUR,745804800.0,54.0,51.0,1.0,,,,68.0,57.0,6.7,5.0,,6.7,6.6,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,away,main,,,,
5,5,M,False,Denzell Garcia,garcia-denzell,D. Garcia,M,28,1192342,,,EUR,,34.0,29.0,3.0,1.0,,,68.0,43.0,6.7,5.0,,6.7,6.7,1.0,,5.0,4.0,,,,2.0,,3.0,1.0,1.0,,3.0,,,,True,,,,1.0,,1.0,,,,,,away,main,,,,
23,23,M,False,Sebastián Saucedo,sebastian-saucedo,S. Saucedo,M,72,791806,US,USA,EUR,853891200.0,22.0,21.0,3.0,3.0,,,45.0,36.0,7.1,6.0,,7.1,7.0,,,2.0,3.0,,2.0,1.0,,1.0,,,1.0,,1.0,,4.0,2.0,,,,,2.0,1.0,1.0,1.0,1.0,,,,away,main,,,,
35,35,F,False,Amaury Escoto,amaury-escoto,A. Escoto,F,31,336863,MX,Mexico,EUR,723081600.0,7.0,5.0,,,,,68.0,10.0,6.9,3.0,,6.9,6.8,1.0,,2.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,away,main,,,,
8,8,F,False,Sebastián Pérez Bouquet,sebastian-perez-bouquet,S. P. Bouquet,M,152,1171720,MX,Mexico,EUR,1056326400.0,31.0,29.0,1.0,1.0,,,90.0,49.0,7.0,13.0,,7.0,6.8,4.0,,9.0,2.0,3.0,1.0,,,1.0,,,1.0,,1.0,,5.0,,,Sebastián Pérez Bouquet,,,2.0,1.0,1.0,,,,,,away,main,,,1.0,
21,21,D,True,Francisco Nevarez,francisco-nevarez,F. Nevarez,D,22,938566,MX,Mexico,EUR,975801600.0,18.0,16.0,1.0,1.0,,,53.0,42.0,6.3,12.0,,6.3,6.1,,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,5.0,,,,,,,1.0,1.0,,,,,,away,substitute,,,,1.0
11,11,F,True,Agustín Urzi,agustin-urzi,A. Urzi,M,232,965775,AR,Argentina,EUR,957398400.0,10.0,8.0,1.0,,,,45.0,22.0,5.9,9.0,,5.9,5.8,,,7.0,2.0,1.0,3.0,,,,,1.0,,,2.0,,3.0,,,,,,2.0,,,,,,,,away,substitute,,,,1.0
17,17,M,True,Mario Osuna,mario-osuna,M. Osuna,M,12,321039,MX,Mexico,EUR,588038400.0,27.0,25.0,4.0,3.0,,,22.0,29.0,7.1,2.0,,7.1,7.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,away,substitute,,,,
20,20,M,True,Ángel Zapata,angel-zapata,Á. Zapata,M,45,1046410,MX,Mexico,EUR,981158400.0,18.0,18.0,1.0,1.0,,,22.0,21.0,6.8,1.0,,6.8,6.7,,,,1.0,,,,,,,,1.0,,,,1.0,,,Ángel Zapata,,,1.0,,,,,,,,away,substitute,,,,
13,13,F,True,Diego Chávez,diego-chavez,D. Chávez,F,21,777269,MX,Mexico,EUR,800150400.0,2.0,2.0,,,,,22.0,6.0,6.3,3.0,,6.3,6.3,1.0,,3.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,away,substitute,,,,
1,1,G,True,Alfredo Talavera,alfredo-talavera,A. Talavera,G,147,34305,MX,Mexico,EUR,401155200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
12,12,G,True,Carlos Higuera,carlos-higuera,C. Higuera,G,24,909613,MX,Mexico,EUR,975369600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
14,14,D,True,Gonzalo Pelua,pelua-gonzalo,G. Pelúa,D,6,1503285,UY,Uruguay,EUR,1054771200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gonzalo Pelúa,,,,,,,,,,,away,substitute,,,,
27,27,D,True,Diego Campillo,diego-campillo,D. Campillo,D,29,990399,MX,Mexico,EUR,1003449600.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
16,16,D,True,Francisco Reyes,francisco-reyes,F. Reyes,D,3,1111637,MX,Mexico,EUR,907459200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
203,203,D,True,Bryan Romero,romero-bryan,B. Romero,M,12,1136106,,,EUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
9,9,F,True,Santiago Ormeño,santiago-ormeno,S. Ormeño,F,731,942097,PE,Peru,EUR,760320000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,away,substitute,,,,
