customId,winnerCode,coverage,hasGlobalHighlights,hasEventPlayerStatistics,hasEventPlayerHeatMap,detailId,crowdsourcingDataDisplayEnabled,id,startTimestamp,slug,finalResultOnly,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.flag,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.userCount,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.crowdsourcingEnabled,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.priority,tournament.id,roundInfo.round,roundInfo.name,roundInfo.slug,roundInfo.cupRoundType,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.disabled,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.name,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.disabled,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.name,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,homeScore.extra1,homeScore.extra2,homeScore.overtime,homeScore.penalties,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,awayScore.extra1,awayScore.extra2,awayScore.overtime,awayScore.penalties,time.injuryTime1,time.injuryTime2,time.injuryTime3,time.injuryTime4,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,awayRedCards,homeRedCards
mYcsvYc,1,-1.0,False,,,,False,10233088,1649471400,nigeria-canada,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Nigeria,nigeria,Nigeria,F,Football,football,1,11308,NGR,False,True,0,7420,NG,Nigeria,[],#39b54a,#ffffff,#ffffff,2,2,0,2.0,2,,,,,0,0,0,0.0,0,,,,,,,,,,"['status.code', 'status.description', 'status.type', 'homeScore.current', 'homeScore.display', 'homeScore.period1', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.current', 'awayScore.display', 'awayScore.period1', 'awayScore.period2', 'awayScore.normaltime']",1649491177,,
mYcsvYc,3,-1.0,True,,,,False,10233089,1649730600,nigeria-canada,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Nigeria,nigeria,Nigeria,F,Football,football,1,11308,NGR,False,True,0,7420,NG,Nigeria,[],#39b54a,#ffffff,#ffffff,2,2,0,,2,,,,,2,2,1,,2,,,,,,,,,1649738507.0,['cardsCode'],1649745362,,
mYcsxNi,3,-1.0,True,,,1.0,False,10363273,1656270000,canada-south-korea,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,South Korea,south-korea,South Korea,F,Football,football,1,3594,KOR,False,True,0,21922,KR,South Korea,[],#ff0000,#0000ff,#0000ff,0,0,0,,0,,,,,0,0,0,,0,,,,,1.0,3.0,,,1656277731.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1656277732,,
mYcseEwb,1,-1.0,True,,,,False,10345134,1657072800,canada-trinidad-and-tobago,False,"CONCACAF Women's Championship, Group B",concacaf-womens-championship-group-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,2576,1954,False,False,False,False,0,38923,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Trinidad and Tobago,trinidad-and-tobago,Trinidad and Tobago,F,Football,football,1,284,TRI,,True,0,178954,TT,Trinidad and Tobago,[],#cc0000,#000000,#000000,6,6,1,,6,,,,,0,0,0,,0,,,,,5.0,3.0,,,1657079631.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1657079636,,
mYcsejdb,2,-1.0,True,,,,False,10351611,1657332000,canada-panama,False,"CONCACAF Women's Championship, Group B",concacaf-womens-championship-group-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,2576,1954,False,False,False,False,0,38923,1.0,,,,100,Ended,finished,Panama,panama,Panama,F,Football,football,1,3139,PAN,False,True,0,132954,PA,Panama,[],#cc0000,#005293,#005293,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,0,0,0,,0,,,,,1,1,0,,1,,,,,5.0,6.0,,,1657339106.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1657339108,,
mYcsDidb,1,-1.0,True,,,,False,10356028,1657580400,canada-costa-rica,False,"CONCACAF Women's Championship, Group B",concacaf-womens-championship-group-b,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,2576,1954,False,False,False,False,0,38923,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Costa Rica,costa-rica,Costa Rica,F,Football,football,1,4018,CRC,False,True,0,132928,CR,Costa Rica,[],#ed1c24,#2366b3,#2366b3,2,2,1,1.0,2,,,,,0,0,0,0.0,0,,,,,6.0,4.0,,,1657587420.0,"['homeScore.period2', 'awayScore.period2']",1657695616,,
mYcsaEwb,1,-1.0,True,,,,False,10456230,1657850400,canada-jamaica,False,"CONCACAF Women's Championship, Knockout stage",concacaf-womens-championship-knockout-stage,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,2576,1954,False,False,False,False,0,38924,2.0,Semifinal,semifinal,2.0,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Jamaica,jamaica,Jamaica,F,Football,football,1,3355,JAM,False,True,0,178950,JM,Jamaica,[],#ffff00,#33a64f,#33a64f,3,3,1,2.0,3,,,,,0,0,0,0.0,0,,,,,3.0,3.0,,,1657857170.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1657857173,,
mYcszYc,1,,True,,,,False,10469179,1658196000,usa-canada,False,"CONCACAF Women's Championship, Knockout stage",concacaf-womens-championship-knockout-stage,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,CONCACAF Women's Championship,concacaf-womens-championship,#634f9e,#77b9bd,North & Central America,north-central-america,Football,football,1,1469,north-and-central-america,2576,1954,False,False,False,False,0,38924,1.0,Final,final,1.0,100,Ended,finished,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,1,1,0,1.0,1,,,,,0,0,0,0.0,0,,,,,2.0,5.0,,,1658203587.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1658203589,,
kYcsmYc,2,,False,,,1.0,False,10661005,1662180300,canada-australia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,0,0,0,0.0,0,,,,,1,1,1,0.0,1,,,,,,,,,,['cardsCode'],1662360139,,
kYcsmYc,2,-1.0,True,,,1.0,False,10666196,1662457200,canada-australia,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,,,,,100,Ended,finished,Australia,australia,Australia,F,Football,football,1,5938,AUS,False,True,0,7410,AU,Australia,[],#ffcc00,#2d324b,#2d324b,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,1,1,1,0.0,1,,,,,2,2,0,2.0,2,,,,,,,,,1662461040.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'awayScore.period2', 'awayScore.normaltime']",1662464173,,
jYcsmYc,1,,True,,,1.0,False,10735537,1665077400,canada-argentina,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Argentina,argentina,Argentina,F,Football,football,1,8813,ARG,False,True,0,7409,AR,Argentina,[],#66ccff,#ffffff,#ffffff,2,2,0,2.0,2,,,,,0,0,0,0.0,0,,,,,,,,,1665080940.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1665083888,1.0,
mYcsiNec,1,,True,,,1.0,False,10735554,1665412200,canada-morocco,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Morocco,morocco,Morocco,F,Football,football,1,10102,MOR,False,True,0,261908,MA,Morocco,[],#ff0000,#006600,#006600,4,4,1,3.0,4,,,,,0,0,0,0.0,0,,,,,,,,,1665415920.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2']",1665418755,,
lYcsmYc,2,,True,,,1.0,False,10861559,1668190500,canada-brazil,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,1,1,1,0.0,1,,,,,2,2,2,0.0,2,,,,,1.0,4.0,,,1668197254.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668197257,,
lYcsmYc,1,,True,,,1.0,False,10872255,1668536100,canada-brazil,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,2,2,1,1.0,2,,,,,1,1,0,1.0,1,,,,,2.0,5.0,,,1668543003.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1668543006,,
mYcszYc,1,,True,True,True,1.0,False,10937619,1676592000,usa-canada,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,1.0,,,,100,Ended,finished,USA,usa,USA,F,Football,football,1,15327,USA,False,True,0,7424,US,USA,[],#ffffff,#ff0000,#ff0000,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,2,2,2,0.0,2,,,,,0,0,0,0.0,0,,,,,3.0,5.0,,,1676596544.0,['time.currentPeriodStart'],1679384336,,
lYcsmYc,2,,True,True,True,1.0,False,10937623,1676849400,canada-brazil,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,2.0,,,,100,Ended,finished,Brazil,brazil,Brazil,F,Football,football,1,45177,BRA,False,True,0,7411,BR,Brazil,[],#ffff00,#009933,#009933,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,0,0,0,0.0,0,,,,,2,2,1,1.0,2,,,,,1.0,5.0,,,1676853471.0,"['time.injuryTime1', 'time.injuryTime2']",1679570076,,
mYcstYc,2,,True,True,True,1.0,False,10937628,1677099600,japan-canada,False,"SheBelieves Cup, Women",shebelieves-cup-women,World,world,Football,football,1,1468,international,SheBelieves Cup,shebelieves-cup,#19213f,#c62437,World,world,Football,football,1,1468,international,1627,3076,True,False,False,False,0,51305,3.0,,,,100,Ended,finished,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,Japan,japan,Japan,F,Football,football,1,5967,JPN,False,True,0,7418,JP,Japan,[],#000080,#ed1b24,#ed1b24,0,0,0,0.0,0,,,,,3,3,2,1.0,3,,,,,5.0,4.0,,,1677104038.0,"['time.injuryTime1', 'time.injuryTime2']",1679570077,,
mYcsKZm,1,,False,,,1.0,False,11112446,1681240200,canada-france,False,"International Friendly Games, Women",international-friendly-games-women,World,world,Football,football,1,1468,international,"Int. Friendly Games, Women",int-friendly-games-women,#25497d,#d38f1d,World,world,Football,football,1,1468,international,6989,852,False,False,False,False,0,1039,1.0,,,,100,Ended,finished,France,france,France,F,Football,football,1,21076,FRA,False,True,0,32485,FR,France,[],#01509e,#e30613,#e30613,Canada,canada,Canada,F,Football,football,1,6637,CAN,False,True,0,7412,CA,Canada,[],#ff0000,#ffffff,#ffffff,2,2,0,2.0,2,,,,,1,1,0,1.0,1,,,,,1.0,3.0,,,1681246889.0,"['status.code', 'status.description', 'status.type', 'homeScore.period2', 'homeScore.normaltime', 'awayScore.period2', 'awayScore.normaltime', 'time.currentPeriodStart']",1681246891,,
